language,title,author,publication_year,type,condition
bi-lingual,momotaro,unknown,unknown,paper,good
japanese,inai inai ba,miyoko matsutani,1967,paper,good
english,all aboard!,yamamoto tadayoshi,1982,paper,good
japanese,doko kana?,koga yoko,2021,paper,good
english,the very hungry caterpillar's christmas 123,eric carle,2015,board,good
japanese,iro iro nikkori,akai shiyumi,2023,board,good
english,we are thing one and thing two,dr. seuss,2023,board,good
japanese,guru guru san,hiragi mitsue,2024,board,good
japanese,korin poi,hiragi mitsue,2022,board,good
english,the tale of peter rabbit,beatrix potter,2022,board,good
japanese,aesop's fables,aesop,1976,paper,good
english,the donkey and the dog,aesop,1986,paper,good
english,my very first book of shapes,eric carle,1974,board,good
english,babies love colors,michelle rhodes conway,2018,board,good
english,christmas abc,carolyn wells,2002,paper,good
english,doggies a counting and barking book,sandra boynton,2019,board,good
english,goodnight moon,margaret wise brown,1991,board,partially destroyed
english,the shape of me and other stuff,dr. seuss,1973,board,good
english,hop on pop,dr. seuss,1991,board,good
english,hop on pop,dr. seuss,1991,board,mostly destroyed
english,fox in socks,dr. seuss,2011,board,good
english,fox in socks,dr. seuss,2011,board,mostly destroyed
english,there's a wocket in my pocket!,dr. seuss,2022,board,good
english,mr. brown can moo! can you?,dr. seuss,1998,board,good
english,mr. brown can moo! can you?,dr. seuss,1998,board,partially destroyed
english,brown bear brown bear what do you see?,bill martin jr. and eric carle,1995,board,good
english,brown bear brown bear what do you see?,bill martin jr. and eric carle,1995,board,mostly destroyed
english,chika chika boom boom,bill martin jr. and john archambault,1989,board,good
bi-lingual,the giving tree,shel silverstein,2023,paper,good
japanese,shinkansen de byuun,shikaku design,2022,paper,mostly destroyed
japanese,so nyan nanji ka nya?,anzai miwa,2020,paper,good
english,i am albert einstein,brad meltzer,2014,paper,good
japanese,ohayou san san good morning picture book,kino shita,2023,board,good
english,the goodnight train,june sobel,2003,board,good
japanese,nontan buranko nosete,kiyo no sachiko,2004,paper,good
japanese,nontan santa clause da yo,kiyo no sachiko,2023,paper,good
japanese,nontan mogu mogu mogu,kiyo no sachiko,1987,paper,good
japanese,nontan booru mate mate mate,kiyo no sachiko,1982,paper,good
japanese,nontan oyasuminasai,kiyo no sachiko,1976,paper,good
japanese,nontan taisou 1 2 3,kiyo no sachiko,2019,paper,good
japanese,nontan hami gaki hami,kiyo no sachiko,1989,paper,good
japanese,nontan oshiko shi shi,kiyo no sachiko,1987,paper,good
japanese,nontan picnic ra ra ra,kiyo no sachiko,2016,paper,good
japanese,tapu no sato,fujioka takuro,2024,paper,good
japanese,maru maru koro koro,sasagawa isamu,2022,paper,good
japanese,furai pan,kino shita,2019,board,good
english,the adventures of the bald-headed bear,cecil d. hassell jr.,2023,paper,good
japanese,pagu pagu 3 kyoudai,nagasawa sei,2018,paper,good
japanese,pengin taisou,maki saito,2013,board,good
japanese,raionsan heasaron ni iku!,kei ibuki,2019,board,good
english,ripley readers dogs with jobs,korynn wible-freels,2020,paper,good
english,ripley readers trains!,korynn wible-freels,2020,paper,good
english,i am the lorax,dr. seuss,2020,board,good
english,peek-a-flap abc,jaye garnett,2021,board,partially destroyed
english,i am horton,dr. seuss,2020,board,good
japanese,akachan haai,koji ishikawa,2012,board,good
japanese,otsukisama konbanwa,akiko hayashi,1986,paper,partially destroyed
english,a color of his own,leo lionni,1975,board,good
english,ten apoples up on top!,dr. seuss,1989,board,good
english,my very first book of colors,eric carle,1974,board,good
english,good night already,jory john and benji davies,2015,paper,good
english,where the wild things are,maurice sendak,1963,paper,good
bi-lingual,the very hungry caterpillar,eric carle,unknown,paper,mostly destroyed
japanese,nemu nemu goron,shin tanaka,2019,paper,partially destroyed
english,a to z,sandra boynton,unknown,board,good
english,peekabo rex!,sandra boynton,2023,board,good
english,snuggle puppy!,sandra boynton,2014,board,good
english,cordoury,don freeman,1968,board,mostly destroyed
english,i will always love you,unknown,2019,board,good
japanese,inai inai baa asobu,yuichi kimura,2003,board,partially destroyed
japanese,hajimete zukan,sho gaku kan,unknown,talking board,good
japanese,panda hantai kotoba,suzie eszterhas,2020,board,good
japanese,the little prince,Antoine de Saint-Exupery,2021,paper,good
english,the world of pooh,a.a. milne,1957,paper,good
english,the emperor's new clothes,hans christian andersen,1986,paper,good
english,the elves and the shoemaker,the brothers grimm,1986,paper,good
english,goodnight moon,margaret wise brown,1982,paper,good
japanese,oyasuminasai otsukisama,margaret wise brown,2022,paper,good
english,jumanji,chris van allsburg,1981,paper,good
bi-lingual,swimmy,leo lionni,1991,paper,good
